,pub_date,abstract,web_url,headline,news_desk,section_name,byline,type_of_material
0,2022-03-29T16:59:51+0000,Apple’s “CODA” won the Oscar for best picture. Cool. But what happens when Big Tech stops throwing money around?,https://www.nytimes.com/2022/03/29/technology/coda-apple-tv-streaming.html,"{'main': 'Apple and the Streaming Mirage', 'kicker': 'on tech newsletter', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Business,Technology,"{'original': 'By Shira Ovide', 'person': [{'firstname': 'Shira', 'middlename': None, 'lastname': 'Ovide', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News
1,2022-03-28T04:24:01+0000,"On a night when “CODA” became the first film from a streaming service to win best picture, the focus was on Will Smith’s altercation with Chris Rock.",https://www.nytimes.com/2022/03/28/movies/the-oscars-2022.html,"{'main': 'Onstage Slap Rattles Oscars, Before ‘CODA’ Triumphs', 'kicker': None, 'content_kicker': None, 'print_headline': 'Lots of Awards. One Nasty Slap.', 'name': None, 'seo': None, 'sub': None}",Business,Movies,"{'original': 'By Brooks Barnes and Nicole Sperling', 'person': [{'firstname': 'Brooks', 'middlename': None, 'lastname': 'Barnes', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Nicole', 'middlename': None, 'lastname': 'Sperling', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}], 'organization': None}",News
2,2022-03-26T09:00:12+0000,"A few years ago, the entertainment industry was arguing over whether movies on streaming services even counted as a film. Now, one is poised to win the Oscars’ top prize.",https://www.nytimes.com/2022/03/26/business/media/academy-awards-streaming-services.html,"{'main': 'Streaming Took Over Hollywood. Will It Take Best Picture, Too?', 'kicker': None, 'content_kicker': None, 'print_headline': 'Streaming Studios Storm the Oscars, With ‘Best Picture’ in Reach ', 'name': None, 'seo': None, 'sub': None}",Business,Business Day,"{'original': 'By Brooks Barnes and Nicole Sperling', 'person': [{'firstname': 'Brooks', 'middlename': None, 'lastname': 'Barnes', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Nicole', 'middlename': None, 'lastname': 'Sperling', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}], 'organization': None}",News
3,2022-03-24T16:28:12+0000,The Digital Markets Act is the most sweeping legislation to regulate tech since a European privacy law was passed in 2018.,https://www.nytimes.com/2022/03/24/technology/eu-regulation-apple-meta-google.html,"{'main': 'E.U. Takes Aim at Big Tech’s Power With Landmark Digital Act', 'kicker': None, 'content_kicker': None, 'print_headline': 'Europe Agrees On Law to Curb Big Tech’s Might', 'name': None, 'seo': None, 'sub': None}",Business,Technology,"{'original': 'By Adam Satariano', 'person': [{'firstname': 'Adam', 'middlename': None, 'lastname': 'Satariano', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News
4,2022-03-24T09:00:31+0000,"More than 400 companies have withdrawn, at least temporarily, from Russia since it invaded Ukraine. Some have been there since the fall of communism — symbols of the enduring power of Western culture and commerce.",https://www.nytimes.com/2022/03/24/business/companies-products-russia.html,"{'main': 'No Longer in Russia', 'kicker': None, 'content_kicker': None, 'print_headline': 'No Longer in Russia', 'name': None, 'seo': None, 'sub': None}",Business,Business Day,"{'original': 'By Alex Kalman, Antonio de Luca and Maia Coleman', 'person': [{'firstname': 'Alex', 'middlename': None, 'lastname': 'Kalman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Antonio', 'middlename': None, 'lastname': 'de Luca', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}, {'firstname': 'Maia', 'middlename': None, 'lastname': 'Coleman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 3}], 'organization': None}",News
5,2022-03-23T22:11:21+0000,The test program is likely to whittle away at the lucrative commissions that Google has charged app developers for money made on its platform.,https://www.nytimes.com/2022/03/23/technology/google-play-store-billing.html,"{'main': 'Google, facing antitrust scrutiny, says it will let apps like Spotify offer alternate billing systems.', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",Business,Technology,"{'original': 'By Daisuke Wakabayashi', 'person': [{'firstname': 'Daisuke', 'middlename': None, 'lastname': 'Wakabayashi', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News
6,2022-03-14T13:47:26+0000,Why spend more if you don’t have to? The new $430 iPhone meets all the criteria of what most of us need in a smartphone.,https://www.nytimes.com/2022/03/14/technology/personaltech/apple-iphone-se-review.html,"{'main': 'Apple iPhone SE Review: A Phone for the Anti-Consumer', 'kicker': 'Tech Fix', 'content_kicker': None, 'print_headline': 'Latest SE Is the iPhone That’s Built, and Priced, for the Anti-Consumer', 'name': None, 'seo': None, 'sub': None}",Business,Technology,"{'original': 'By Brian X. Chen', 'person': [{'firstname': 'Brian', 'middlename': 'X.', 'lastname': 'Chen', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News
7,2022-03-11T10:00:21+0000,"The company has opposed singer-songwriters, school districts and food blogs for trying to trademark names or logos featuring an apple — or a pear or pineapple.",https://www.nytimes.com/2022/03/11/technology/apple-trademarks.html,"{'main': 'Apps and Oranges: Behind Apple’s ‘Bullying’ on Trademarks', 'kicker': None, 'content_kicker': None, 'print_headline': 'Trying to Trademark a Fruit Logo? You Might Hear From Apple’s Lawyers.', 'name': None, 'seo': None, 'sub': None}",Business,Technology,"{'original': 'By Ryan Mac and Kellen Browning', 'person': [{'firstname': 'Ryan', 'middlename': None, 'lastname': 'Mac', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Kellen', 'middlename': None, 'lastname': 'Browning', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}], 'organization': None}",News
8,2022-03-12T08:00:09+0000,"Mykhailo Fedorov, Ukraine’s youngest minister, has turned technology, cryptocurrency and social media into modern weapons of war.",https://www.nytimes.com/2022/03/12/technology/ukraine-minister-war-digital.html,"{'main': 'Shaming Apple and Texting Musk, a Ukraine Minister Uses Novel War Tactics', 'kicker': None, 'content_kicker': None, 'print_headline': 'Ukraine Minister Tries Novel Tactics', 'name': None, 'seo': None, 'sub': None}",Business,Technology,"{'original': 'By Adam Satariano', 'person': [{'firstname': 'Adam', 'middlename': None, 'lastname': 'Satariano', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News
9,2022-03-08T17:17:19+0000,The tech giant used to give us only a few cool options. Now it has to work harder to win us over.,https://www.nytimes.com/2022/03/08/technology/apple-products.html,"{'main': 'Apple Has to Try Hard Now', 'kicker': 'on tech newsletter', 'content_kicker': None, 'print_headline': 'Apple Can No Longer Rely on Making a Few Cool Gadgets', 'name': None, 'seo': None, 'sub': None}",Business,Technology,"{'original': 'By Shira Ovide', 'person': [{'firstname': 'Shira', 'middlename': None, 'lastname': 'Ovide', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}",News
